2025-12-21 19:49:49,854 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 19:50:43,496 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 19:55:08,550 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 20:24:10,204 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 20:37:37,424 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 20:48:13,338 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 20:55:02,044 - INFO - Ep 10: Reward=-1373.6, Steps=2933, MaxX=1437, Flag=\u274c, \u03b5=0.100, Loss=3.5510, Q=-22.42
2025-12-21 21:02:10,781 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 21:02:15,073 - INFO - Ep 20: Reward=-260.8, Steps=2265, MaxX=1154, Flag=\u274c, \u03b5=0.100, Loss=3.5292, Q=-23.90
2025-12-21 21:12:51,403 - INFO - \U0001f344 Starting Mario RL Training on cuda
2025-12-21 21:17:43,280 - INFO - Ep 10: Reward=-1206.8, Steps=5000, MaxX=712, Flag=\u274c, \u03b5=0.100, Loss=1.7331, Q=-18.73
2025-12-21 21:20:32,398 - INFO - Ep 20: Reward=-2513.8, Steps=5000, MaxX=867, Flag=\u274c, \u03b5=0.100, Loss=1.9953, Q=-19.83
2025-12-21 21:24:00,948 - INFO - Ep 30: Reward=-1287.2, Steps=5000, MaxX=873, Flag=\u274c, \u03b5=0.100, Loss=2.1267, Q=-16.14
2025-12-21 21:27:40,948 - INFO - Ep 40: Reward=-523.7, Steps=5000, MaxX=863, Flag=\u274c, \u03b5=0.100, Loss=1.6612, Q=-17.48
2025-12-21 21:30:48,346 - INFO - Ep 50: Reward=-53.1, Steps=684, MaxX=712, Flag=\u274c, \u03b5=0.100, Loss=1.4609, Q=-15.34
2025-12-21 21:34:11,549 - INFO - Ep 60: Reward=-1992.6, Steps=5000, MaxX=874, Flag=\u274c, \u03b5=0.100, Loss=1.2994, Q=-12.51
2025-12-21 21:36:23,738 - INFO - Ep 70: Reward=60.3, Steps=703, MaxX=1133, Flag=\u274c, \u03b5=0.100, Loss=1.6457, Q=-13.17
2025-12-21 21:37:25,989 - INFO - Ep 80: Reward=10.2, Steps=602, MaxX=717, Flag=\u274c, \u03b5=0.100, Loss=1.8664, Q=-13.49
2025-12-21 21:38:47,423 - INFO - Ep 90: Reward=-210.3, Steps=1622, MaxX=1124, Flag=\u274c, \u03b5=0.100, Loss=2.3311, Q=-13.96
2025-12-21 21:40:41,181 - INFO - Ep 100: Reward=-124.3, Steps=1619, MaxX=1399, Flag=\u274c, \u03b5=0.100, Loss=2.6815, Q=-13.49
2025-12-21 21:43:39,239 - INFO - Ep 110: Reward=-68.3, Steps=5000, MaxX=542, Flag=\u274c, \u03b5=0.100, Loss=2.1984, Q=-9.62
2025-12-21 21:46:38,795 - INFO - Ep 120: Reward=-1683.4, Steps=5000, MaxX=986, Flag=\u274c, \u03b5=0.100, Loss=1.8434, Q=-6.49
2025-12-21 21:48:48,425 - INFO - Ep 130: Reward=-1346.6, Steps=3255, MaxX=1129, Flag=\u274c, \u03b5=0.100, Loss=1.8161, Q=-6.90
2025-12-21 21:50:44,869 - INFO - Ep 140: Reward=-87.9, Steps=2102, MaxX=2469, Flag=\u274c, \u03b5=0.100, Loss=2.0851, Q=-8.31
2025-12-21 21:53:03,954 - INFO - Ep 150: Reward=-861.7, Steps=5000, MaxX=643, Flag=\u274c, \u03b5=0.100, Loss=2.8155, Q=-10.91
2025-12-21 21:56:10,279 - INFO - Ep 160: Reward=-569.5, Steps=5000, MaxX=645, Flag=\u274c, \u03b5=0.100, Loss=3.4115, Q=-13.23
2025-12-21 21:59:13,676 - INFO - Ep 170: Reward=-1302.9, Steps=5000, MaxX=671, Flag=\u274c, \u03b5=0.100, Loss=3.2023, Q=-14.75
